#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","BaseName","Mode","Name","Parent","Exists","Root","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Goblin","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Goblin","C","Microsoft.PowerShell.Core\FileSystem","True","Goblin","d----","Goblin","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Goblin","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:02 PM","7/19/2011 11:19:02 PM","7/19/2011 5:19:02 PM","7/19/2011 11:19:02 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Griffon","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Griffon","C","Microsoft.PowerShell.Core\FileSystem","True","Griffon","d----","Griffon","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Griffon","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:44 PM","7/19/2011 11:19:44 PM","7/19/2011 5:19:44 PM","7/19/2011 11:19:44 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Grom","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Grom","C","Microsoft.PowerShell.Core\FileSystem","True","Grom","d----","Grom","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Grom","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:12 PM","7/19/2011 11:19:12 PM","7/19/2011 5:19:12 PM","7/19/2011 11:19:12 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Human","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Human","C","Microsoft.PowerShell.Core\FileSystem","True","Human","d----","Human","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Human","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:48 PM","7/19/2011 11:21:48 PM","7/19/2011 5:21:48 PM","7/19/2011 11:21:48 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Kargath","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Kargath","C","Microsoft.PowerShell.Core\FileSystem","True","Kargath","d----","Kargath","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Kargath","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:20:46 PM","7/19/2011 11:20:46 PM","7/19/2011 5:20:46 PM","7/19/2011 11:20:46 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Khadgar","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Khadgar","C","Microsoft.PowerShell.Core\FileSystem","True","Khadgar","d----","Khadgar","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Khadgar","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:22 PM","7/19/2011 11:19:22 PM","7/19/2011 5:19:22 PM","7/19/2011 11:19:22 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Knight","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Knight","C","Microsoft.PowerShell.Core\FileSystem","True","Knight","d----","Knight","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Knight","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:20:14 PM","7/19/2011 11:20:14 PM","7/19/2011 5:20:14 PM","7/19/2011 11:20:14 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Kurdran","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Kurdran","C","Microsoft.PowerShell.Core\FileSystem","True","Kurdran","d----","Kurdran","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Kurdran","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:54 PM","7/19/2011 11:19:54 PM","7/19/2011 5:19:54 PM","7/19/2011 11:19:54 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Misc","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Misc","C","Microsoft.PowerShell.Core\FileSystem","True","Misc","d----","Misc","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Misc","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:28 PM","7/19/2011 11:21:28 PM","7/19/2011 5:21:28 PM","7/19/2011 11:21:28 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Ogre","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Ogre","C","Microsoft.PowerShell.Core\FileSystem","True","Ogre","d----","Ogre","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Ogre","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:07 PM","7/19/2011 11:21:07 PM","7/19/2011 5:21:07 PM","7/19/2011 11:21:07 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Ogremage","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Ogremage","C","Microsoft.PowerShell.Core\FileSystem","True","Ogremage","d----","Ogremage","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Ogremage","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:20:04 PM","7/19/2011 11:20:04 PM","7/19/2011 5:20:04 PM","7/19/2011 11:20:04 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Orc","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Orc","C","Microsoft.PowerShell.Core\FileSystem","True","Orc","d----","Orc","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Orc","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:38 PM","7/19/2011 11:21:38 PM","7/19/2011 5:21:38 PM","7/19/2011 11:21:38 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Paladin","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Paladin","C","Microsoft.PowerShell.Core\FileSystem","True","Paladin","d----","Paladin","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Paladin","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:20:25 PM","7/19/2011 11:20:25 PM","7/19/2011 5:20:25 PM","7/19/2011 11:20:25 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Peasant","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Peasant","C","Microsoft.PowerShell.Core\FileSystem","True","Peasant","d----","Peasant","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Peasant","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/21/2011 6:51:14 PM","7/22/2011 12:51:14 AM","7/21/2011 6:51:14 PM","7/22/2011 12:51:14 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Peon","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Peon","C","Microsoft.PowerShell.Core\FileSystem","True","Peon","d----","Peon","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Peon","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:16:10 PM","7/19/2011 11:16:10 PM","7/19/2011 5:16:10 PM","7/19/2011 11:16:10 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Ships","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Ships","C","Microsoft.PowerShell.Core\FileSystem","True","Ships","d----","Ships","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Ships","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:17 PM","7/19/2011 11:21:17 PM","7/19/2011 5:21:17 PM","7/19/2011 11:21:17 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Spells","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Spells","C","Microsoft.PowerShell.Core\FileSystem","True","Spells","d----","Spells","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Spells","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:38 PM","7/19/2011 11:21:38 PM","7/19/2011 5:21:38 PM","7/19/2011 11:21:38 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Teron","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Teron","C","Microsoft.PowerShell.Core\FileSystem","True","Teron","d----","Teron","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Teron","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:07 PM","7/19/2011 11:21:07 PM","7/19/2011 5:21:07 PM","7/19/2011 11:21:07 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Troll","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Troll","C","Microsoft.PowerShell.Core\FileSystem","True","Troll","d----","Troll","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Troll","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:17 PM","7/19/2011 11:21:17 PM","7/19/2011 5:21:17 PM","7/19/2011 11:21:17 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Turalyon","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Turalyon","C","Microsoft.PowerShell.Core\FileSystem","True","Turalyon","d----","Turalyon","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Turalyon","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:28 PM","7/19/2011 11:21:28 PM","7/19/2011 5:21:28 PM","7/19/2011 11:21:28 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Wizard","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Wizard","C","Microsoft.PowerShell.Core\FileSystem","True","Wizard","d----","Wizard","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Wizard","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:17 PM","7/19/2011 11:21:17 PM","7/19/2011 5:21:17 PM","7/19/2011 11:21:17 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Zeppelin","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Zeppelin","C","Microsoft.PowerShell.Core\FileSystem","True","Zeppelin","d----","Zeppelin","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Zeppelin","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:54 PM","7/19/2011 11:19:54 PM","7/19/2011 5:19:54 PM","7/19/2011 11:19:54 PM","Directory"
